date,median,mean_7
10/1/18,0.012146575,0.557570466
10/2/18,0.014938603,0.508860207
10/3/18,0.044208499,0.41541104
10/4/18,0.029386323,0.315621393
10/5/18,0.009830108,0.211356217
10/6/18,0.011452896,0.168097404
10/7/18,0.086342485,0.176104043
10/8/18,0.067193743,0.192113427
10/9/18,0.028866584,0.196872612
10/10/18,0.004347635,0.179306205
10/11/18,0.254738868,0.216193241
10/12/18,1.180408802,0.3797162
10/13/18,0.852578017,0.498073529
10/14/18,0.286669418,0.526768715
10/15/18,0.059179646,0.524637866
10/16/18,0.028783553,0.522414329
10/17/18,0.03353092,0.535419536
10/18/18,0.06607295,0.504897881
10/19/18,0.517556834,0.418257004
10/20/18,5.643787715,1.33683369
10/21/18,0.558586277,1.368166363
10/22/18,0.29418632,1.403573292
10/23/18,0.392667686,1.460228113
10/24/18,0.060861384,1.466902167
10/25/18,0.008587897,1.450149124
10/26/18,0.004796896,1.3697178
10/27/18,0.02291155,0.337409381
10/28/18,0.312119051,0.309218331
10/29/18,0.489275405,0.332399087
10/30/18,0.74188269,0.376480469
10/31/18,0.644519363,0.4548817
11/1/18,0.825574494,0.572561764
11/2/18,1.79514496,0.821716518
11/3/18,4.549133643,1.616113689
11/4/18,5.545554505,2.633936431
11/5/18,0.577792645,2.641911854
11/6/18,0.382622522,2.595975368
11/7/18,1.111865462,2.65841095
11/8/18,3.993334872,3.187138201
11/9/18,1.302401704,3.123235244
11/10/18,0.314462437,2.375368016
11/11/18,0.168223066,1.337660271
11/12/18,0.032832319,1.262963363
11/13/18,0.073828294,1.220594556
11/14/18,0.126249053,1.092815333
11/15/18,0.306822289,0.5003473
11/16/18,0.963330865,0.455284771
11/17/18,0.891147025,0.527988941
11/18/18,0.471332837,0.566754603
11/19/18,0.051091059,0.573214329
11/20/18,0.661950723,0.651153528
11/21/18,7.566182741,2.110728444
11/22/18,4.338814209,2.794705305
11/23/18,5.939754628,3.784785737
11/24/18,1.606254634,3.879802291
11/25/18,3.426675676,4.326718378
11/26/18,5.398480237,5.28193677
11/27/18,7.232821022,6.664621977
11/28/18,3.837907624,5.814460431
11/29/18,7.870307357,6.817775922
11/30/18,4.449984671,6.460664242
12/1/18,0.623616543,6.328971549
12/2/18,1.258015641,5.983491331
12/3/18,2.351051256,5.34506627
12/4/18,6.879771879,5.31606148
12/5/18,6.920531676,6.080148551
12/6/18,8.807280585,6.525763782
12/7/18,11.88283496,9.43951033
12/8/18,11.01728333,12.57716881
12/9/18,2.92909442,12.85712697
12/10/18,4.815135869,13.41748928
12/11/18,4.014978956,12.64183993
12/12/18,4.530342313,12.03733006
12/13/18,6.886533477,11.32133045
12/14/18,8.006471947,9.565369309
12/15/18,1.56946924,6.554323829
12/16/18,0.971780925,6.235800117
